post_id,food_id,user_id,content,likes,type
1,178249,2003135967,"Can kalamata olives be substituted for the green olives?",0,question
2,178249,2001693157,"Can kalamata olives be substituted for the green olives?",0,question
3,178249,2002470084,"I know it would be delicious, but must the chicken be grilled? Can it be baked in the oven?",0,question
4,178249,2002091378,"How many calories sodium and carbs in this meal",0,question
5,178249,239767,"DH and I made this for dinner last night and our only complaint was that we ate too much becuase it was so good! Only change I made was used garlic powder instead of roasted garlic in the tapenade as we were short on time. Thank you for posting.",3,review
6,178249,2001492522,"Great dish to make and serve right off the grill. Flavor was so wonderful.",1,review
7,178249,2002974579,"Absolutely loved this! We fought over who was getting the left overs for lunch. It was equally as delicious as left overs. I added feta cheese. I may cut the lemon juice down in the veggies the next time.",1,review
8,178249,735767,"This has so much flavor and easy to make! This is will be a new regular at our house!! I served it with some angel hair with a little garlic and olive oil....home run:)",1,review
9,178249,2002012581,"This was ABSOLUTELY delicious!!! My family loved it and had seconds! I doubled it so my husband and I finished it last night. We sprinkled a little bit of feta on top as well. Thank you for sharing your recipe!",1,review
10,178249,2003135967,"I bought a very cheap roast and stabbed it all over with a fork (just to make sure that it was dead).",0,tweak
11,178249,239767,"DH and I made this for dinner last night and our only complaint was that we ate too much becuase it was so good! Only change I made was used garlic powder instead of roasted garlic in the tapenade as we were short on time. Thank you for posting.",0,tweak
12,178249,481092,"Excellent! Perfect summer dish with the easy to grill chicken and the cool topping. I just used lemon pepper on the chicken instead of juice and peel. Very good. Thanks for posting.",0,tweak
1,293197,2002480485,"What can the falafel be served with?",0,question
2,293197,465829,"This is good Falafel! I could not find dried fava beans, so I used well drained canned. The blend of spices were so good. I served with Recipe #59336 and some red onions sliced very thinly inside pita bread. I will make again. Made and Reviewed for ANZ Recipe Swap #25 - Thanks! :)",2,review
3,293197,2001112113,"I love falafel so much and this recipe makes them so easy to do at home. The key is to remember to soak the beans the night before! Followed the recipe exactly and it was great.",1,review
4,293197,599450,"These are as good as any falafel I've eaten from American west to east coasts (i.e., San Francisco to NYC). I, too, couldn't find ""broad beans"", aka ""fava beans"", so I used all garbanzo beans, which is fairly traditional from my understanding. Great flavors! I served them in recipe #187699. Thanks, Che floWer! Made for PRMR.",1,review
5,293197,498487,"No stars because I really didn't know what to expect from this recipe. I've never had Falafel before and just thought this would be a nice change of pace. It didn't go over as well as I'd hoped. We found them bland, which surprised me given the delectable spices that went into them, and dry. Now a friend of mine who has had Falafel in Israel liked them though she agreed they were a bit dry and suggested adding a small amount of extra virgin olive oil to the mix. I may try this again adding oil and doubling the spices, if I do I'll update my review.",1,review
6,293197,1580637,"First time making (though long time eating!) falafel and this was surprisingly easy and really really good (I used all dried garbanzos though). They were crispy on the outside and super tender in the middle. They had really good flavor too even though I had no coriander nor cilantro. A couple things I'd do different next time, and recommend to others: 1) Careful not to chop/puree the chickpea mixture too much. I over-did it and they were a bit too runny. Stop when the mixture is still a bit course. 2) When deep-frying I found they did best at 350 degrees for 5 minutes (though I found another recipe telling me 375, I thought they came out too dark at that temp). 3) Sprinkle with course salt immediately after removing from the frier, the salt will stick better when they are still hot.",0,review
7,293197,2001112113,"I served them on top of some hummus with pita. So good!",0,tweak
8,293197,2001112113,"I served them on top of some hummus with pita. So good!",0,tweak
1,487593,2001112113,"Loved these little fish foil packets so much. They were so easy and the oven does all the work for you which is always a nice bonus. These would be great thrown on the grill as well.",1,review
2,487593,612622,"Sooooo good! I rarely write reviews but this one is worth it. Very quick and easy. I did find that I needed to cook it about 28 min instead of the suggested 15-20. I probably ended up doubling the amount of veggies to just because I love zucchini so much. Very happy I have another new fish recipe in my cookbook! Oh also, I wasn't able to find an actual Greek seasoning so I got a seasoning that had similar ingredients.",1,review
3,487593,2201427,"Looks (and sounds) awesome!!! Love tilapia!!!",1,review
4,487593,914360,"This looks really delicious !",1,review
5,487593,2206320,"Awesome recipe ~ mouthwatering!!!!",1,review
1,47961,2001112113,"I love lentils so much, and wanted to try something new. This recipe is a keeper. I've never had anything like this before and will definitely be making it again!",1,review
2,47961,282673,"i have made this salad several times now and love it! i use the french puy lentils but don't cook them as long as the recipe states. i use dried mint, and also reduce the garlic since in this recipe it is not cooked. i founf that this makes great leftovers, the flavors blend and intensify. i plan to make this a lot over the summer.",1,review
3,47961,1182971,"This was really good. I didn't know what to expect since it is my first experience with lentil salad, but it certainly won't be the last. The only change I made to the recipe was to lower the amount of oil. I do agree with one review that it is best served in smaller quantities since it is quite bold. I will be making this again.",1,review
4,47961,13796,"I liked this. It was easy to prepare as I had all of the ingredients on hand. I used mint AND fresh basil. I cut out 1 tablespoon each of the oil and lemon juice and it was just right. I brought the lentils to a boil and then turned them down to a very low simmer for 25 minutes. They were almost a little too soft but most of them held their shape really well. I poured ice water over them to stop the cooking process. Good recipe and good for you, too.",1,review
5,47961,2002526386,"I actually tried this recipe because I adore all kinds of varieties and flavors of Salsa that adds to my main dishes. It could be PASTA, a Baked Potato, not just meat, and this particular salsa is DELICIOUS!! Very filling. I highly recommend this salsa recipe if you love Lentils like myself.",0,review
6,47961,2002242767,"For my next meal/leftovers, I added garlic powder, extra lemon juice, salt and pepper to taste, and lemon zest to add a little extra flavor. Those changes helped make it better but still not excellent.",0,tweak
7,47961,167225,"This is delicious; I've had the recipe for a while and made it several times (most recently for a 4th of July barbecue) and everyone who tries it is impressed. I really like the flavor of the mint. This time, I found there was too much dressing (I think this may be in part because I didn't use the full amount of cheese), so if your measurements are a bit loose, it might be a good idea to whisk those ingredients together and then add as needed. I've successfully used balsamic vinegar instead of lemon juice; it's a different flavor, but still very tasty.",0,tweak
1,229948,844554,"I'm starting to cook more with balsamic vinegar and this one hit the spot. I used white button, less oil and no salt. Delicious! Made for Zaar Cookbook Tag Game 2011.",1,review
2,229948,21752,"These were wonderful! I used generic button mushrooms on sale at the supermarket and a healthy dash of Moroccan paprika as well. Made for ZWT 5.",1,review
3,229948,135470,"These were good mushrooms, but in making several varieties at once, found them of be lacking in flavor comparatively. The addition of garlic or shallots, would definitely make an improvement. Thanks for sharing your recipe made for ZWT 5 for the Cooks With Dirty Faces",1,review
4,229948,2156777,"This was quick and easy. I have another similar recipe but it has more spices...garlic, parsley, oregano and such. This is better if I need to put soemthing together quickly though.",0,review
5,229948,1060667,"These were delicious! I do think some chopped garlic would be a great addition, but great as is :)",0,review
1,158351,2002044255,"What is the bed the salmon is placed upon ?",0,question
2,158351,1188676,"The best salmon recipe on Zaar. I make it over and over again. Sometimes I double the marinade since that is the best part and add a bit of water at the end to have some gravy.",1,review
3,158351,277434,"I baked instead of seared this, mainly because I had a whole side of salmon and was feeling lazy, but it was excellent. I made a fairly large amount of the paste (using the proportions in the recipe of course) which I spread on the flesh side and baked in a rimmed baking sheet at 450º for 10 minutes (it was about 1"" thick at the thickest). As an aside, the paste did not burn when baking it.",1,review
4,158351,137911,"Awesome recipe!!! I was looking for a pan-seared recipe for salmon and this is wonderful! I did add about 1/2 tsp of tumeric to the marinade, but other than that, it was as listed. I seared it in my stainless steel pan with just a spray of canola oil. I had no problem with sticking. Served this with some jasmine rice and beets (at my dd's request). Pam",1,review
5,158351,2003097947,"https://worldfashiontips.com/",0,review
6,158351,496803,"This was a great flavor combination with the fish. A bit spicy, but not enough to blow your head off, and very easy to mix up. I left the skin on, put the marinade on the flesh side, and let it sit for about 1/2 hour. Then I grilled it skin side down. A wonderful meal, made for ZWT9",0,review
1,537248,2003034514,"This was almost perfect! I didn't have a mandolin, so I hand sliced, and loved how delicious the vegetable blend was. The only thing I will change next time is to reduce the lemon zest to about a tablespoon. the zest of one whole lemon almost overpowered the recipe, and my guys didn't like that. Might also add mozarella cheese to make it a little richer.",0,review
2,537248,2002978494,"To be honest I do not care for lasagna at all but this recipe sounded wonderful so gave it a shot last night. . I did make a few changes from the original. I hand sliced the eggplant and zucchini and were much thicker than Natasha�s so roasted both in the oven for 10 minutes before assembling the dish. I also added lots of mozzarella and Parmesan because I love Gooey food. I used my homemade marinara put the dish together baked and it was beyond fabulous. Will definitely Make again.",0,review
3,537248,2002770718,"Loved cooking this! It was delicious.",0,review
1,537249,2000407935,"There are directions for making the vinaigrette but the ingredients for the vinaigrette are not listed. How much vinegar, orange juice, Dijon mustard, shallots, and garlic?",3,question
1,138183,2001112113,"Okay, one of the best salmon dishes on this site! I cooked it under the broiler since it's easier but honestly the salad topping is what really makes it! I love this recipe.",1,review
2,138183,8629,"Loved this! I used kalamata olives. I prepared the topping (less the fresh basil) a day in advance and refrigerated it. I brought the topping to room temperature the next day and added the fresh basil just before serving. I served this with the couscous. I'm glad I have leftovers.",1,review
3,138183,2001755986,"Trying to get my husband to like salmon. He will eat it if I make fresh salmon patties and tolerate one other recipe. I made this last night and he can�t stop raving about it. I did ours on the stove and it was perfect. Crispy on the outside and juicy inside. As I saut�ed it I did cut off the thinner ends as they got done and placed them on top of the thicker ends so they�d stay warm. The tomato/olive tepanade was great !",0,review
4,138183,2002039866,"The salad was good enough to hide the fact that I was using 1.5-year-old frozen salmon fillets, but I bet this would be out of this world with fresh, bbq�d salmon! I used Kalamata olives and dried basil.",0,review
5,138183,285039,"Loved it! Quick and easier version of the copycat Buca Di Beppo Salmon Siracusa I often make! Delish",0,review
1,428004,836852,"Really liked these veggies! Didn't have eggplant and used sweet potatoes and threw in some mushrooms, but it was still sooo good. Was even better in leftovers the next day.",3,review
2,428004,128473,"My dh & I really enjoyed this dish. It was the first time that we tried eggplant and we loved it. It was quick and easy to make, tender and crisp with a slightly sweet, yet savory flavor. I used white balsamic vinegar and green onions instead of chives, I also added a small sweet potato. Thank you starrynews for sharing a recipe that we will enjoy again and again.",3,review
3,428004,1226388,"I love roasted vegetables, but this was even better than I expected. The marinade flavors really come thru, it was sweet and tangy, and really delicious! Thanks for posting this, it really hit the spot tonight! Made for ZWT 9",2,review
4,428004,1169750,"This was wonderful. There was not one morsel left! Next time, more eggplant, less potatoes. Thanks for posting.",2,review
5,428004,131126,"We really enjoyed this tasy dish & will make it again. The eggplant was divine & paired wonderfully with the potatoes. The balsamic gave a nice undertone with a slightly sweet highlight. Thank you for sharing the recipe!",2,review
6,428004,2001556102,"I replaced Eggplant with courgettes and added cherry tomatoes 10 minutes before the end.",0,tweak
7,428004,148221,"So easy and soooo good! I made a few changes; I used two large potatoes and 2 large zucchini in place of the eggplant, and I didn't have any chives so I bumped the basil up to 1 tsp in it's place. I cut my potatoes in smaller chunks to reduce the cooking time, and ended up cooking it 22 minutes, stirring it, then 10 minutes more and my veggies were all nice and soft. I also skipped the cooking spray part and coated my veggies in a large bowl with the oil and herbs. I was a little scared of 2 TBS of vinegar, but it wasn't a problem at all. I'm extremely excited about this because, to me, I felt like I was eating vegetarian hash but wasn't missing the meat a bit. Thanks so much!!",0,tweak
8,428004,815198,"Love this recipe!! It tasted like I the vegetables were grilled, perfect for when it's not grilling season. I made this as is, except I chickened out on the eggplant and substituted mushrooms instead. We'll be making this again for sure, so maybe next time I'll try it out with the eggplant :)",0,tweak
9,428004,128473,"My dh & I really enjoyed this dish. It was the first time that we tried eggplant and we loved it. It was quick and easy to make, tender and crisp with a slightly sweet, yet savory flavor. I used white balsamic vinegar and green onions instead of chives, I also added a small sweet potato. Thank you starrynews for sharing a recipe that we will enjoy again and again.",0,tweak
1,12684,2002470084,"Is there anything else you can substitute for the beans besides chickpeas? I'm not a bean fan but would like to have the protein.",0,question
2,12684,12657,"This was great! I omitted the feta cheese, and used walnuts instead of pine nuts. Also, I wasn't sure if you meant dried oregano or fresh, and all I had was dried, so I used the given amount of dried oregano, even though it looked like a bit much! However, it all came together in the end, with the crunch of the walnuts complimenting the kidney beans, tomatoes, and cousous to perfection! Thanks stephanie!",6,review
3,12684,143308,"Yumbo! I used Isreali couscous, which is bigger than other types of couscous and it was fab!",2,review
4,12684,171210,"I really enjoyed this dish, it was very light and refreshing. The only reason I'm not giving it a 5 star is because my kids weren't really fans and my husband was indifferent. I will still make this again, but to take for lunch instead of for the whole family. Thanks for the recipe!",1,review
5,12684,126440,"Loved this salad with Mediterranean Tilapia Pockets. Easy and such great flavors.",0,review
6,12684,452355,"I loved this fresh tasting couscous salad! Perfect combination of ingredients and flavors and it was so easy. I made no modifications. I'll definitely be making this again! Thanks!",0,review
7,12684,2001831916,"This salad was so good, I used garbanzos instead of the kidney beans, and chopped kalamata olives instead of the pine nuts because the store was out, and a teaspoon of dried oregano because I think the original recipe calls for fresh, but it was perfect! I'd definitely serve it up with some grilled steak or chicken next time.",0,tweak
8,12684,539990,"Everybody loved it! My daughter had a blast helping make it. We used chickpeas instead of kidney beans. Will make again, thanks!! :)",0,tweak
9,12684,465460,"we really enjoyed this, especially with the chickpeas instead of the kidney beans.",0,tweak
10,12684,3288,"Nice tasting recipe! I fought my need to mess with the recipe and did as posted with the exception of using red beans instead of kidney beans - just what I had on hand. This was subtle, and I can't wait to see how the tastes meld overnight. Thanks for a great summer salad!",0,tweak
11,12684,145960,"Very good. I made this ahead of time (8 hours or so) and it was great. I'm eating it today as leftovers. I used toasted slivered almonds instead of pine nuts. Next time I will add sliced kalamata olives. I think it would enhance the recipe alot.",0,tweak
1,536387,2001038345,"These were awesome! Very quick and easy. And the Tzatziki sauce is very good. This recipe is worth it for that alone.",0,review
2,536387,2001736429,"Easy, delicious, full of flavor. Will put this in the rotation! I do think the turkey burgers need more than 4 mins per side but I am going to grill them the next time.",0,review
1,131988,900992,"The 3-star rating if for the recipe as is. After the following changes, we would rate it 5 stars. <br/>We roasted the red pepper and removed the skin. However, we found the flavor of the kalamata olives to be very overpowering. To fix this, we added an extra half of a red pepper (raw, not roasted), 2 tablespoons of plain yogurt, 1 extra tablespoon of lemon juice, 1 extra tablespoon of tahini, and 1 extra tablespoon of parsley. It was fine after these additions... and this resulted in more hummus :-)",0,review
2,131988,292841,"Oh my word, thank you for this absolutely fabulous recipe! I thought it was the best hummus I have ever had the pleasure to have tasted. And I made it!<br/>The only thing I did to change it was pour boiling water on my chick peas a couple of times, stir it around a bit to get the skin like covering off the peas. The skin coverings float to the top. <br/>It may take a wee bit more time, but it allows for a more creamier hummus. Again, thank you!",0,review
3,131988,402698,"I made it for myself and a couple of moms I had over for lunch. It was sooo delicious. I like the spiciness...just right!",0,review
4,131988,312679,"OOOH My goodness this is so so yummy! Try this! My friend loved it too!! I also love #117045, #35625, and #11424.",0,review
5,131988,89831,"this hummus is SOOOOOOOO good! I have been wanting to try this recipe for quite sometime and I'm so glad I finally got to making it, it's just delicious! I increased the garlic and added in lots black pepper, I can't wait to make this again, thanks for sharing this great hummus recipe hon!...Kitten :)",0,review
1,299973,444132,"So simple, so delicious, so fresh - this is perfect for such a beautiful sunny spring day! I added some fresh ground pepper, used pearl boccocini for the mozzerella, and vidalia onion for my sweet onion. I love it! Thanks for posting, Brooke! Made for Zaar Stars Tag.",1,review
2,299973,494084,"THis was easy, healthy and good! THe flavor was missing something for me (that I can't quite put my finer on) but since it was so easy and good for you I'll probably make it again. Thanks so much Brooke!!",1,review
3,299973,191533,"I was actually surprised at how much my husband ate of this. He's not big on vinegar. I did think it was lacking flavor so I added sugar, salt, and garlic powder. (didn't use fresh garlic)",0,review
4,299973,604906,"Had some chickpeas I cooked myself and this looked like a good recipe to try. I made it twice, added a lot more balsamic vinegar because it didn't have enough flavor for me. Also left out the cheese the second time, it was just as good.",0,review
5,299973,169430,"This was a most enjoyable salad. With the cheese this could easily be a full meal on it's own but it was great with grilled chicken. A wonderful balance of flavors.",0,review
6,299973,13593,"I do not hesitate to rate this recipe with five stars. This is so easy, refreshing, and healthy. I followed the directions as written, but did use yellow onion and Kosher salt instead of sweet onion and sea salt. I don't think it really changed the recipe. This is a nice cooling recipe that is great for summer and lunch boxes. Thank you for sharing.",0,tweak
7,299973,691407,"I took this salad to a backyard BBQ this weekend as my side dish. It was served with burgers, brats, ribs, hot dogs, etc. The crowd loved it and finished it off. Very easy to make, literally chop everything and throw it into one bowl. I used feta cheese instead of mozzarella, and waited to add it until right before it was served. I also used table salt instead of sea salt, tasted great!!",0,tweak
8,299973,216999,"Easy to prepare and delicious, this one is a keeper! I left out the parsley and basil and we do not care for them, and used fresh goat-milk feta instead of the mozzarella. Made for the Dining Daredevils for ZWT5.",0,tweak
9,299973,197023,"A wonderfully delicious - and SO healthy - summer salad. I made this exactly to the recipe - except for using chives instead of the sweet onion and doubling the garlic (a matter of availability and personal taste preferences) and served it on a bed of baby spinach leaves. I'll be making this again during the summer months. Thank you for sharing another fabulous recipe, Brooke!",0,tweak
10,299973,89831,"very good although it needed a few amount adjustments and fresh ground black pepper, I used green onions in place of the sweet onion as I have a huge crop in my garden, thanks for sharing Brooke!",0,tweak
1,304166,2001556398,"I have a couple of quick questions I have never really dealt with english cucumbers. I've read about the differences. Can you use plain cucumbers instead? Does it significantly alter the taste of the sauce?",0,question
2,304166,2000898883,"Love this recipe for an easy tzatziki. I don�t salt my cucumber, instead I grate and squeeze them in a dish towel to remove all the liquid. Have never had an issue with watery leftovers. I don�t use a blender, instead I just mix everything in one bowl. And refidgerate for a while. Easy to adjust this to taste.",6,review
3,304166,2001160057,"I worked for a Greek/Lebanese restaurant, and we would make this with sour cream instead of yogurt. Really tasty!",5,review
4,304166,2001067738,"For 14+ years I lived in Tarpon Springs, FL which has a very large population of Greeks. So, I've had real, authentic Greek-style food and my favorite was their gyros. I LOVED those gyros which, of course, are served with tzaztiki sauce. This recipe is amazing! I made it exactly as the recipe stated and it was so good I'm making more for dipping veggies for our Fourth of July party this weekend! I did use an English cucumber because of its mild flavor (I don't like cucumbers) but I changed NOTHING in this recipe because it was perfect! Thank you so much for such a delicious recipe!",3,review
5,304166,2002225290,"Made the recipe here's what I'd change. Use 1 container full fat Greek yogurt as is don't bother with squeezing. Peel, seed and finely grate 3 cucumbers. Squeeze out liquid from cukes. Using a garlic press take around 10 garlic cloves to start press add more to your preference. Juice of 1 lemon 2 tablespoons each finely chopped mint and dill salt white pepper mix in bowl all ingredients omit blender",2,review
6,304166,2001650017,"I wanted a garlicy tzatziki so I had to add 11 cloves of garlic. Great recipe! Edit: Tried it an hour later and it was too spicy. Probably should stick to 5-6 cloves",2,review
7,304166,2000165997,"Don�t Salt the cucumber. Made this recipe per directions. Way too watery and way too salty. Grate the cucumber and squeeze in a towel to get the water out. Unless you�re feeding an army make 1/3 or 1/4 recipe. Don�t process the cucumber - just the other seasonings.",1,tweak
8,304166,2895155,"This was an okay sauce. I've made other versions of tzatziki sauce that I liked better. This one came out a little thinner than I would have liked. I think it's because the recipe has you blend the cucumber and spices before adding to the yogurt. In previous recipes I've tried, you just dice the cucumber and add the seasonings to the yogurt instead of blending it all up to make a puree. I probably won't be making this recipe again.",1,tweak
1,536714,505731,"The last ingredient for the tabbouleh is listed as "" 1 other seeds or nuts"". What measurement is this ""1"" referring to? One Tablespoon, One Cup, ??",0,question
1,39195,58104,"I just love this! I also put raisins(golden) in along with the capers.",6,review
2,39195,2003001761,"This is a delicious dish, however your recipe is not in the traditional way. This is a Sicilian dish and we don't use peppers, nor balsamic vinegrette or brown sugar. The authentic way is to use cut whole tomatoes, ONLY Green olives, not the pimentos, red wine vinegar and white sugar to taste. This is a sweet/sour dish. Room temperature over a nice crusted bread or toasted crusted bread is ideal. This is a rustic dish and no pre-manufactured products are needed (puree & balsamic vinegrette)",4,review
3,39195,10033,"I have now made this several times. This is an excellent and versatile recipe--I even froze a bunch of it and have reheated it to serve with pasta or as relish for a main dish. I did leave the skin on the eggplant for color and fiber. I also added a bit of white wine. thanks for posting!",2,review
4,39195,2001112113,"Such a delicious recipe! I made it just as directed and it turned out great. Perfect as a side or a light summer meal with some crusty bread on the side.",1,review
5,39195,37779,"This caponata was excellent. Very fresh tasting and had lively flavors. I skinned the eggplant because I don't like the toughness the skin sometimes has. Skipped the anchovies, although next time, I might get brave and try them. I served this on lightly toasted sliced baguette. Made a perfect light supper with a chilled bottle of white wine. Thanks 1Steve.",1,review
6,39195,2002180508,"chiffinade is strips, not finely chopped..like ribbons",2,tweak
1,382432,573325,"WOW, absolutely DELICIOUS!!!! Debbie I have eaten quite a number of bulgur salads (always using millet in place of the bulgur), but this one really is one of the best! The flavours mingle perfectly and the dill and feta combined with the tomatoes and spinach are just super yummy! :) I used your recipe #415662 in place of the bulgur and it was very nice. Added a slightly nutty flavour to the salad. I will most definitely make this again as everyone just raved about it! THANKS SO MUCH for sharing this surpreme recipe here with us! Made and reviewed for my chosen chef in Veggie Swap #21 April 2010.",2,review
2,382432,440735,"Wow! This was delicious. I was worried when I saw the amount of bulgar in the bowl soaking. I had to ""nuke"" the bulgur because after 40 minutes it was still crunchy. I reduced the dill to one tablespoon because dill is overpowering. I would add a1 tablespoon and a half next time. This salad was surprisingly Fantastic. I only added 3 ounces of Feta because that is what I had on hand. I did add the tomatoes which is a MUST in my opinion. It was so good. Did I say this was good?",0,review
3,382432,42413,"This was fantastic! My only regret was that I couldn't get fresh dill (I did use some dill weed though), as I am sure that would have put it into a whole other dimension. Having said that, I loved this recipe! I will definitely be making this for the next gathering I attend. Thanks for posting!",0,review
4,382432,358796,"I made this recipe but tweaked the amounts on ingredients. Only used 2 Tablespoons fresh dill and that was plenty. 1/3 cup would be too much for us. Overall it was good, but can't give stars since I changed the amounts so much from the original recipe.",0,review
5,382432,869184,"I cannot believe how delicious this salad is! The dill really makes the salad. Do NOT omit the dill when making this salad. I added a bit of lemon juice to the Bulgar wheat before platting, otherwise made as stated. Made for PRMR Tag.",0,review
6,382432,2002912073,"Red onion, bell peppers, and white cheddar instead of green onion, dill, and feta. Also cooked bulgur according to packaging. It was delicious!",0,tweak
