food_id,creator_id,food_name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,carbohydrate,fiber,sugar,sodium
178249,11176,MEDITERRANEAN CHICKEN BREASTS WITH AVOCADO TAPENADE,222,277.1,16.4,2.5,75.5,26.4,6.9,3.2,1.5,914.6
293197,223854,CRISPY FRIED FALAFEL,521,29.4,0.3,0,0,1.8,5,1.7,0.8,55.9
487593,2216338,MEDITERRANEAN TILAPIA POCKETS #RSC,182,261.9,17,2.8,62.5,25.7,3,1.3,0.8,212.6
47961,61863,LEBANESE LENTIL SALAD,280,378.1,30.2,9.6,40.2,11.6,17.1,5,5.1,515.4
229948,64667,MEDITERRANEAN BALSAMIC MUSHROOMS,93,155.3,13.9,1.9,0,3.6,5.8,1.2,4.1,590.1
537245,2002302245,SHAKSHUKA BURRITO WITH ROASTED PEPPER SALSA AND TZATZIKI,311,267.1,18.7,3.6,186,10,18.1,8.1,5.8,690.7
158351,37449,PAN SEARED MOROCCAN SALMON,62,87.3,3.8,0.6,25.8,11.8,1.2,0.5,0.2,121.5
537248,2002302245,MEDITERRANEAN LASAGNA,376,366.4,17.1,7.8,39.9,19.2,36.9,6.6,8.1,1340.5
537249,2002302245,MEDITERRANEAN CHOPPED SALAD,573,568.8,42.5,13.1,53.6,18.7,32,13.1,9.6,1120
537246,2002302245,OLIVE OIL CHOCOLATE CHIP COOKIES,71,334.2,18.6,2.6,15.5,2.7,40.1,0.6,24.2,253.7
138183,4439,MEDITERRANEAN SALMON,262,321.6,17.7,2.8,77.4,35.4,3.8,1.2,2.1,693.9
537247,2002302245,STRAWBERRY TRIFLE,182,116,0.4,0,0,1,28.6,2.9,24.6,293.1
428004,174096,ROASTED MEDITERRANEAN VEGETABLES,226,197.6,7.2,1.1,0,4.3,31.6,8.3,8.2,13.7
12684,15385,MEDITERRANEAN LEMON COUSCOUS SALAD,237,448.6,21.2,7.1,33.4,16.1,50,7.1,5,592.9
536387,33186,GREEK TURKEY BURGERS,1270,460.8,20.9,4,78.3,29.2,39.8,3.2,3.1,777.9
131988,169969,MEDITERRANEAN KALAMATA HUMMUS,124,357.7,24.8,3.4,0,8,29.4,7,1.3,596.9
299973,469903,MEDITERRANEAN CHICKPEA SALAD,272,272.5,11.1,4.4,22.4,12.7,31.5,5.8,4.2,648
304166,392215,TZATZIKI SAUCE-- GREEK CUCUMBER/YOGURT SAUCE,30,5,0,0,0,0.2,1.3,0.1,0.5,582
536714,33186,LAMB & CARROT MEATBALLS WITH CAULIFLOWER TABBOULEH,722,758.9,58.5,20.2,154.1,30.6,33.1,10.5,14.6,804.7
39195,15718,EGGPLANT (AUBERGINE) CAPONATA,381,348,6.1,0.9,0,5.9,73.5,14.2,53.8,816.2
382432,542159,SPINACH AND BULGAR SALAD,185,183.2,13.5,5.5,26.8,7,9.6,2.9,1.7,385.4
111865,145352,STUFFED AVOCADO SALAD,217,334,29.9,7.3,22.3,6.6,14.6,9,3.6,291.9
220089,67656,CROCK POT CHICKEN CASABLANCA (WW FLEX AND ALMOST CORE),472,335.4,7.1,1.3,81.7,33.1,35.7,7.5,12.3,358.9
316925,351711,ITALIAN EGGPLANT RAGOUT,366,196.5,5.9,0.8,0,6.5,32.9,10.8,8,2632.2
280466,199792,TOMATO AND BARLEY SOUP,313,134.1,5.3,0.8,0,4.1,18.7,3.8,5.3,439.6
81419,27416,UNCLE BILL'S VEGETARIAN MINESTRONE SOUP,323,172.4,4.4,0.7,0,6.7,28.6,7,9.2,577.8
514034,2284242,SHAKSHUKA WITH SWISS CHARD,502,337.7,21.4,5.3,375.3,19.3,20.4,5.6,12.4,1639.8
379639,225426,WORLD'S BEST TABBOULI / TABOULI / TABBOULEH / TABOULEH SALAD,198,203.7,7.4,1,0,5.5,31.8,7.7,2.6,140.2
364493,166642,BROWN RICE & PEPPERS PILAF,179,182.2,3.7,0.6,0,4.3,33.4,2.1,1.6,18.1
156662,89831,"MEDITERRANEAN CHICKEN WITH TOMATOES, KALAMATA AND MUSHROOMS",716,666,37,13.5,208.5,69.4,14.2,3.8,7.7,690.4
183768,137838,LENTIL AND COUSCOUS SALAD,237,214.5,11,1.5,0,5.4,24,3.6,1.2,10.9
455488,1072593,MEDITERRANEAN HUMMUS APPETIZER,138,317.1,20.3,2.8,0,7.5,28.6,5.9,0.3,618.5
82509,37636,MEDITERRANEAN LENTIL SOUP WITH SPINACH,143,184.1,0.9,0.2,0,11.6,34.3,13.4,4.2,65.6
182935,189280,MEDITERRANEAN SHRIMP WITH GARLIC CHIPS,136,147.3,8,1.1,142.9,15.7,3,0.5,0.4,642.7
244722,463858,COD WITH MEDITERRANEAN SALSA,151,133.4,4.3,0.6,48.9,20.7,2.4,0.6,0.5,208.8
220025,463858,MEDITERRANEAN CHICKEN SALAD,246,500.3,27.9,4.8,78.8,31.7,31.9,4.5,9.9,241.1
131972,131126,MEDITERRANEAN TUNA STUFFED TOMATO,283,299.4,16.7,3.7,44.8,27.9,10.4,3.2,5.1,567.3
323422,464080,MEDITERRANEAN CORN SALAD,109,155.7,5.8,2.6,13.4,6.1,21.4,3.6,0.7,680.5
221237,171790,MEDITERRANEAN SALAD,230,499.1,21.2,2.8,0,13.9,64.9,12.7,2.5,862.1
8892,8975,MEDITERRANEAN SPINACH,132,72,2.9,1.7,9.5,6.2,8.1,3.9,2.1,298.5
317056,719083,MEDITERRANEAN DIP DUO,174,413.6,34.4,14.5,53.1,11.5,18,5,3.2,846.1
179813,338124,MEDITERRANEAN EDAMAME SALAD,195,422.1,30.8,5.2,8.3,19.6,22.4,7.5,4.4,437.1
7968,148316,MEDITERRANEAN WHITE BEAN SOUP,362,342.4,4.2,0.7,0,19.1,59.5,13.6,3.1,28.1
243354,481092,MEDITERRANEAN SALAD WITH LEMON CAPER VINAIGRETTE,158,334.7,33.1,6.8,16.7,3.7,8,1.7,2.2,472.9
84978,27678,MEDITERRANEAN SALAD,381,818.8,45,6.3,0,20.3,94.4,35.9,9,762.8
290384,463435,MEDITERRANEAN FRITTATA,184,288.5,22.8,7.7,301.8,15.3,5.6,1.2,3.4,656.5
304676,725350,MEDITERRANEAN MAHI MAHI WITH OLIVE AND SHALLOT TAPENADE,229,468.5,35.1,5,124.2,32.6,5.7,0.9,0.2,589.5
214004,296027,MEDITERRANEAN FETA DIP,108,122.6,9.8,4.1,21.2,5,5.1,1,2.7,319.5
538870,2001004241,EASY FALAFEL,110,546.7,55.2,4.1,0,2.7,12.7,2.4,0.1,571.9
70005,42651,""" SUN-DRIED "" TOMATOES",13,0.1,0,0,0,0,0,0,0,0
