creator,list_title,anime_title,anime_year
Halex,animes with a watching guide,fullmetal alchemist,2003
Aerythrin,tearjerking anime,fullmetal alchemist,2003
Aerythrin,tearjerking anime,fullmetal alchemist: brotherhood,2009
sothis,anime with overpowered op characters,fullmetal alchemist: brotherhood,2009
Bacon41,tear inducing anime,fullmetal alchemist: brotherhood: 4-koma theater,2009
GeminiRabbit,anime with a completed manga,boruto: naruto next generations,2017
Halex,naruto  watching guide,boruto: naruto next generations,2017
WolfAngelus,nostalgic themed anime  nostalgicpopular,boruto: naruto the movie,2015
Halex,naruto  watching guide,boruto: naruto the movie,2015
Halex,naruto  watching guide,boruto: naruto the movie - the day naruto became hokage,2016
VongolaUndici1196,when you want something serious to watch,death note,2006
EnjuAiharaFan,must watch anime  the greatest plots,death note,2006
alala,alternate retellingcompilation movies of,death note rewrite 1: visions of a god,2007
sothis,anime with overpowered op characters,death note rewrite 1: visions of a god,2007
Ryuubus,anime that aired in romania  animeuri di,death note rewrite 2: l's successors,2008
sothis,anime with overpowered op characters,death note rewrite 2: l's successors,2008
Halex,animes with a watching guide,naruto,2002
sothis,anime with overpowered op characters,naruto,2002
Halex,naruto  watching guide,naruto shippuden,2007
sothis,anime with overpowered op characters,naruto shippuden,2007
AnnaSartin,halloween episodes in anime,naruto spin-off: rock lee & his ninja pals,2012
Mayank,all anime on netflix india,naruto spin-off: rock lee & his ninja pals,2012
AnnaSartin,halloween episodes in anime,road of naruto,2022
Mayank,all anime on netflix india,road of naruto,2022
AnnaSartin,halloween episodes in anime,boruto: jump festa 2016 special,2016
Mayank,all anime on netflix india,boruto: jump festa 2016 special,2016
Silvernotebook,my emotions though gun shots,my hero academia,2016
InnocentSmile,anime seriesmovies with no ecchi scenes ,my hero academia,2016
Silvernotebook,my emotions though gun shots,my hero academia 2,2017
InnocentSmile,anime seriesmovies with no ecchi scenes ,my hero academia 2,2017
Silvernotebook,my emotions though gun shots,my hero academia 3,2018
InnocentSmile,anime seriesmovies with no ecchi scenes ,my hero academia 3,2018
Halex,code geass  watching guide,code geass: dakkan no rozé,2024
VongolaUndici1196,when you want something serious to watch,code geass: lelouch of the rebellion,2006
EnjuAiharaFan,must watch anime  the greatest plots,code geass: lelouch of the rebellion,2006
Halex,code geass  watching guide,code geass: lelouch of the rebellion iii - glorification,2018
Mayank,all anime on netflix india,code geass: lelouch of the rebellion iii - glorification,2018
NorthPole,sports festival scenes in anime,naruto: hidden leaf village grand sports festival!,2004
Epimondas,most adult oriented rated r level or abo,sword art online,2012
EnjuAiharaFan,must watch anime  the greatest plots,sword art online,2012
NorthPole,video games anime,sword art online: alicization - war of underworld,2019
GeminiRabbit,sword art online watching guide,sword art online: alicization - war of underworld: part ii,2020
GeminiRabbit,sword art online watching guide,20-pun de oitsukeru: attack on titan,2021
Halex,attack on titan  watching guide,attack on skytree,2017
InnocentSmile,anime seriesmovies with no ecchi scenes ,attack on titan,2013
EnjuAiharaFan,must watch anime  the greatest plots,attack on titan,2013
Morikochan,you cant call yourself an otaku if you d,soul eater,2008
Thanh2003,female protagonist animes,soul eater: late night show,2008
VongolaUndici1196,when you want something serious to watch,school days,2007
alala,romantic school dramascomedies,school days,2007
YariMari,anime badges,school days: magical heart kokoro-chan,2008
Burkirk,hate sink protagonist anime,school days ona,2005
captivus,best romance anime,eromanga sensei,2017
Raikenzom,modern or futuristic context 2d donghuas,he wei dao x sword art online: alicization,2019
NorthPole,video games anime,sword art online: extra edition,2013
GeminiRabbit,sword art online watching guide,sword art online: extra edition,2013
Epimondas,most adult oriented rated r level or abo,highschool of the dead,2010
HH223,top anime for getting started,highschool of the dead,2010
Halex,animes with incredible art,bleach,2004
sothis,anime with overpowered op characters,bleach,2004
NorthPole,wafu fantasy anime,bleach: memories in the rain,2004
NorthPole,wafu fantasy anime,bleach movie 1: memories of nobody,2006
Epimondas,most adult oriented rated r level or abo,the rising of the shield hero,2019
EnjuAiharaFan,must watch anime  the greatest plots,the rising of the shield hero,2019
Re1nhard,anime available on disney hotstar,the rising of the shield hero 2nd season,2022
Re1nhard,anime available on disney hotstar,the rising of the shield hero 3rd season,2023
AnnaSartin,food and product commercials starring an,hungry days x one piece,2019
Halex,animes with a watching guide,one piece,1999
sothis,anime with overpowered op characters,one piece,1999
Halex,best animes from 2014,one piece 3d2y: overcoming ace's death! luffy's pledge to his friends!,2014
VongolaUndici1196,when you want something serious to watch,future diary,2011
EnjuAiharaFan,must watch anime  the greatest plots,future diary,2011
halochan,top 15  gruesome animes to watch,future diary ova,2010
Mayank,all anime on netflix india,future diary: redial,2013
Halex,code geass  watching guide,code geass: akito the exiled,2012
Halex,code geass  watching guide,hungry days x bump of chicken: kinen satsuei,2019
NorthPole,wafu fantasy anime,bleach: the sealed sword frenzy,2005
NorthPole,wafu fantasy anime,bleach: thousand-year blood war,2022
InnocentSmile,anime seriesmovies with no ecchi scenes ,tokyo ghoul,2014
EnjuAiharaFan,must watch anime  the greatest plots,tokyo ghoul,2014
Feinraf,anime on netflix uk,tokyo ghoul: jack,2015
sothis,anime with overpowered op characters,tokyo ghoul: jack,2015
Aerythrin,best anime music,tokyo ghoul:re 2nd season,2018
NightTonight,must watch seinen dark fantasy anime  20,tokyo ghoul:re 2nd season,2018
InnocentSmile,anime seriesmovies with no ecchi scenes ,attack on titan 2nd season,2017
NightTonight,must watch seinen dark fantasy anime  20,attack on titan 2nd season,2017
InnocentSmile,anime seriesmovies with no ecchi scenes ,"arceus, the one called god",2022
NightTonight,must watch seinen dark fantasy anime  20,"arceus, the one called god",2022
InnocentSmile,anime seriesmovies with no ecchi scenes ,a ripple in time,2022
NightTonight,must watch seinen dark fantasy anime  20,a ripple in time,2022
InnocentSmile,anime seriesmovies with no ecchi scenes ,planetarium pokémon: aurora kara no message,2020
NightTonight,must watch seinen dark fantasy anime  20,planetarium pokémon: aurora kara no message,2020
InnocentSmile,anime seriesmovies with no ecchi scenes ,claris: luminous,2012
NightTonight,must watch seinen dark fantasy anime  20,claris: luminous,2012
AnnaSartin,cute girls whose lives suck,magia record: puella magi madoka magica side story,2020
AnnaSartin,cute girls whose lives suck,magia record: puella magi madoka magica side story season 2 - the eve of awakening,2021
AnnaSartin,cute girls whose lives suck,kyuutai panic adventure!,2003
Mayank,all anime on netflix india,sword art online: alicization,2018
GeminiRabbit,sword art online watching guide,sword art online: alicization - reflection,2019
KrisDFC,animes rebootsremakes,one piece: episode of merry - mou hitori no nakama no monogatari,2013
knoxyal,anime with official animated music video,one piece film: gold,2016
InnocentSmile,anime seriesmovies with no ecchi scenes ,a silent voice,2016
EnjuAiharaFan,must watch anime  the greatest plots,a silent voice,2016
knoxyal,official anime music videos amvs featuri,ai higuchi: akuma no ko,2022
InnocentSmile,anime seriesmovies with no ecchi scenes ,tokyo ghoul √a,2015
sothis,anime with overpowered op characters,tokyo ghoul √a,2015
Epimondas,most adult oriented rated r level or abo,akame ga kill!,2014
sothis,anime with overpowered op characters,akame ga kill!,2014
ClawfootQueen,clawfoot bathtubs in anime,akame ga kill! theater,2014
alala,romantic school dramascomedies,fruits basket,2001
Shirokuma,animes with reverse harem,fruits basket,2001
Silvernotebook,my emotions though gun shots,fruits basket 1st season,2019
InnocentSmile,anime seriesmovies with no ecchi scenes ,fruits basket 1st season,2019
Silvernotebook,my emotions though gun shots,fruits basket 2nd season,2020
knoxyal,the ultimate shows for stress relief,fruits basket 2nd season,2020
InnocentSmile,anime seriesmovies with no ecchi scenes ,ouran high school host club,2006
Shirokuma,animes with reverse harem,ouran high school host club,2006
